Concello compuesto,id bruto,Concello bruto,,Concello_id,Concello,Renta disponible bruta per capita [miles de euros],2023
32043 Maceda ,32043,Maceda,,32043,Maceda,16.939,"16,939"
32044 Manzaneda ,32044,Manzaneda,,32044,Manzaneda,14.583,"14,583"
32045 Maside ,32045,Maside,,32045,Maside,13.719,"13,719"
32046 Melón ,32046,Melón,,32046,Melón,13.596,"13,596"
"32047 Merca, A ",32047,"Merca, A ",,32047,"Merca, A ",14.605,"14,605"
"32048 Mezquita, A ",32048,"Mezquita, A ",,32048,"Mezquita, A ",13.085,"13,085"
32049 Montederramo ,32049,Montederramo,,32049,Montederramo,14.507,"14,507"
32050 Monterrei ,32050,Monterrei,,32050,Monterrei,13.212,"13,212"
32051 Muíños ,32051,Muíños,,32051,Muíños,11.135,"11,135"
32052 Nogueira de Ramuín ,32052,Nogueira de Ramuín ,,32052,Nogueira de Ramuín ,15.025,"15,025"
32053 Oímbra ,32053,Oímbra,,32053,Oímbra,11.063,"11,063"
32054 Ourense ,32054,Ourense,,32054,Ourense,21.546,"21,546"
32055 Paderne de Allariz ,32055,Paderne de Allariz ,,32055,Paderne de Allariz ,15.575,"15,575"
32056 Padrenda ,32056,Padrenda,,32056,Padrenda,13.191,"13,191"
32057 Parada de Sil ,32057,Parada de Sil ,,32057,Parada de Sil ,11.584,"11,584"
32058 Pereiro de Aguiar ,32058,Pereiro de Aguiar,,32058,Pereiro de Aguiar,16.891,"16,891"
"32059 Peroxa, A ",32059,"Peroxa, A ",,32059,"Peroxa, A ",12.197,"12,197"
32060 Petín ,32060,Petín,,32060,Petín,14.979,"14,979"
32061 Piñor ,32061,Piñor,,32061,Piñor,14.920,"14,920"
32062 Porqueira ,32062,Porqueira,,32062,Porqueira,11.194,"11,194"
"32063 Pobra de Trives, A ",32063,"Pobra de Trives, A ",,32063,"Pobra de Trives, A ",18.605,"18,605"
32064 Pontedeva ,32064,Pontedeva,,32064,Pontedeva,12.371,"12,371"
32065 Punxín ,32065,Punxín,,32065,Punxín,14.043,"14,043"
32066 Quintela de Leirado ,32066,Quintela de Leirado ,,32066,Quintela de Leirado ,12.967,"12,967"
32067 Rairiz de Veiga ,32067,Rairiz de Veiga,,32067,Rairiz de Veiga,14.322,"14,322"
32068 Ramirás ,32068,Ramirás,,32068,Ramirás,13.614,"13,614"
32069 Ribadavia ,32069,Ribadavia,,32069,Ribadavia,15.745,"15,745"
32070 San Xoán de Río ,32070,San Xoán de Río ,,32070,San Xoán de Río ,14.410,"14,410"
32071 Riós ,32071,Riós,,32071,Riós,13.142,"13,142"
"32072 Rúa, A ",32072,"Rúa, A ",,32072,"Rúa, A ",16.734,"16,734"
32073 Rubiá ,32073,Rubiá,,32073,Rubiá,14.446,"14,446"
32074 San Amaro ,32074,San Amaro ,,32074,San Amaro ,14.811,"14,811"
32075 San Cibrao das Viñas ,32075,San Cibrao das Viñas ,,32075,San Cibrao das Viñas ,16.203,"16,203"
32076 San Cristovo de Cea ,32076,San Cristovo de Cea ,,32076,San Cristovo de Cea ,14.140,"14,140"
32077 Sandiás ,32077,Sandiás,,32077,Sandiás,15.968,"15,968"
32078 Sarreaus ,32078,Sarreaus,,32078,Sarreaus,13.914,"13,914"
32079 Taboadela ,32079,Taboadela,,32079,Taboadela,16.740,"16,740"
"32080 Teixeira, A ",32080,"Teixeira, A ",,32080,"Teixeira, A ",13.466,"13,466"
32081 Toén ,32081,Toén,,32081,Toén,15.582,"15,582"
32082 Trasmiras ,32082,Trasmiras,,32082,Trasmiras,12.622,"12,622"
"32083 Veiga, A ",32083,"Veiga, A ",,32083,"Veiga, A ",16.539,"16,539"
32084 Verea ,32084,Verea,,32084,Verea,12.920,"12,920"
32085 Verín ,32085,Verín,,32085,Verín,15.928,"15,928"
32086 Viana do Bolo ,32086,Viana do Bolo ,,32086,Viana do Bolo ,15.787,"15,787"
32087 Vilamarín ,32087,Vilamarín,,32087,Vilamarín,14.192,"14,192"
32088 Vilamartín de Valdeorras ,32088,Vilamartín de Valdeorras ,,32088,Vilamartín de Valdeorras ,14.671,"14,671"
32089 Vilar de Barrio ,32089,Vilar de Barrio ,,32089,Vilar de Barrio ,13.940,"13,940"
32090 Vilar de Santos ,32090,Vilar de Santos ,,32090,Vilar de Santos ,15.707,"15,707"
32091 Vilardevós ,32091,Vilardevós,,32091,Vilardevós,13.353,"13,353"
32092 Vilariño de Conso ,32092,Vilariño de Conso,,32092,Vilariño de Conso,13.563,"13,563"
36001 Arbo ,36001,Arbo,,36001,Arbo,15.276,"15,276"
36002 Barro ,36002,Barro,,36002,Barro,17.663,"17,663"
36003 Baiona ,36003,Baiona,,36003,Baiona,20.167,"20,167"
36004 Bueu ,36004,Bueu,,36004,Bueu,17.588,"17,588"
36005 Caldas de Reis ,36005,Caldas de Reis ,,36005,Caldas de Reis ,16.141,"16,141"
36006 Cambados ,36006,Cambados,,36006,Cambados,17.553,"17,553"
36007 Campo Lameiro ,36007,Campo Lameiro,,36007,Campo Lameiro,16.287,"16,287"
36008 Cangas ,36008,Cangas,,36008,Cangas,17.619,"17,619"
"36009 Cañiza, A ",36009,"Cañiza, A ",,36009,"Cañiza, A ",14.883,"14,883"
36010 Catoira ,36010,Catoira,,36010,Catoira,16.134,"16,134"
36011 Cerdedo ,36011,Cerdedo,,36011,Cerdedo,,
36012 Cotobade ,36012,Cotobade,,36012,Cotobade,,
36013 Covelo ,36013,Covelo,,36013,Covelo,13.669,"13,669"
36014 Crecente ,36014,Crecente,,36014,Crecente,12.936,"12,936"
36015 Cuntis ,36015,Cuntis,,36015,Cuntis,16.678,"16,678"
36016 Dozón ,36016,Dozón,,36016,Dozón,12.556,"12,556"
